,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
237,645,786,990,1416,1628,"Boise City, ID HUD Metro FMR Area",Boise County,Boise County,ID
238,645,786,990,1416,1628,"Boise City, ID HUD Metro FMR Area",Canyon County,Canyon County,ID
239,645,786,990,1416,1628,"Boise City, ID HUD Metro FMR Area",Owyhee County,Owyhee County,ID
240,573,667,879,1145,1253,"Gem County, ID HUD Metro FMR Area",Gem County,Gem County,ID
241,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Amesbury Town city,MA
242,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Beverly city,MA
243,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Danvers town,MA
244,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Essex town,MA
245,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Gloucester city,MA
246,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Hamilton town,MA
247,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Ipswich town,MA
248,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Lynn city,MA
249,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Lynnfield town,MA
250,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Manchester-by-the-Sea town,MA
251,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Marblehead town,MA
252,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Middleton town,MA
253,1813,2008,2443,3044,3309,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Essex County,Nahant town,MA
